,vehicle_id,data_installment,listing_price,data_make,data_model,data_year,data_mileage,data_transmission,doors,seat_capacity,assembled,engine_cc,peak_power,peak_torque,engine_type,fuel_type
3251,11014381,1750,135000,18,96,2022,0,1,2.0,2.0,0,5200.0,150.0,145.0,1,0
3252,11013701,736,56800,28,110,2022,0,1,2.0,2.0,0,1800.0,150.0,145.0,1,3
3254,11013477,1271,98000,15,137,2022,0,1,2.0,2.0,0,4009.0,150.0,145.0,1,0
3255,11013054,1245,96000,18,96,2022,0,1,2.0,2.0,0,5200.0,150.0,145.0,1,0
3256,11010978,1602,123600,25,25,2022,0,0,4.0,5.0,1,1898.0,150.0,350.0,1,0
3258,11005634,3757,289800,35,89,2022,0,0,4.0,5.0,2,1496.0,287.0,450.0,0,1
3259,11004695,3734,288000,35,89,2022,0,0,4.0,5.0,2,1496.0,287.0,450.0,0,1
3260,10965198,1128,87000,16,23,2022,0,0,5.0,7.0,0,1497.0,120.0,145.0,1,3
3262,10976980,3708,286000,35,89,2022,0,0,4.0,5.0,2,1496.0,287.0,450.0,0,1
3263,10944767,2980,229888,20,36,2022,1,0,5.0,8.0,0,2151.0,201.0,440.0,1,0
3264,10928687,3369,259888,20,36,2022,0,0,5.0,7.0,0,2151.0,201.0,440.0,1,0
3266,10907740,1037,80000,27,118,2022,0,1,4.0,5.0,1,2477.0,110.0,200.0,1,0
3267,10907723,1037,80000,27,118,2022,0,1,4.0,5.0,1,2477.0,110.0,200.0,1,0
3268,10902654,1335,103000,27,118,2022,0,0,4.0,5.0,1,2442.0,181.0,430.0,1,0
3269,10902632,1335,103000,27,118,2022,0,0,4.0,5.0,1,2442.0,181.0,430.0,1,0
3270,10902591,1037,80000,27,118,2022,0,1,4.0,5.0,1,2477.0,110.0,200.0,1,0
3271,10902578,1037,80000,27,118,2022,0,1,4.0,5.0,1,2477.0,110.0,200.0,1,0
3272,10902520,1400,108000,9,105,2022,0,0,4.0,5.0,1,1996.0,170.0,405.0,1,0
3274,10880414,892,68800,36,44,2022,0,1,2.0,2.0,0,2985.0,150.0,145.0,1,0
